No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
81,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,10.81B,22.14,100.86,2.20%,"578,497"
82,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,25.96B,36.04,80.05,1.19%,"1,778,055"
83,CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,72.88B,74.65,174.46,1.35%,"1,809,928"
84,CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,29.37B,-,26.86,1.21%,"19,548,582"
85,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,37.41B,66.99,141.49,3.28%,"1,762,653"
86,CDW,CDW Corporation,Technology,Information Technology Services,USA,22.71B,31.11,169.44,2.23%,"722,164"
87,CE,Celanese Corporation,Basic Materials,Chemicals,USA,16.99B,8.91,151.89,1.39%,"670,296"
88,CERN,Cerner Corporation,Healthcare,Health Information Services,USA,22.29B,28.88,72.92,1.45%,"2,023,795"
89,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,9.63B,31.17,45.91,1.17%,"1,851,744"
90,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,18.72B,20.24,44.94,1.79%,"5,725,139"
91,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,20.88B,27.75,86.53,-0.94%,"1,701,779"
92,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,12.56B,26.14,97.15,1.80%,"919,032"
93,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,132.26B,39.18,608.58,-1.37%,"1,630,934"
94,CI,Cigna Corporation,Healthcare,Healthcare Plans,USA,83.18B,10.46,241.83,0.04%,"1,272,234"
95,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,16.82B,13.83,104.14,1.02%,"657,996"
96,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,65.54B,25.05,78.55,-0.36%,"4,789,537"
97,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,24.32B,20.21,192.83,-0.03%,"1,282,117"
98,CMA,Comerica Incorporated,Financial,Banks - Regional,USA,9.87B,21.82,71.74,0.00%,"1,288,234"
99,CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,255.88B,24.04,54.75,1.18%,"16,654,578"
100,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,72.87B,35.10,206.09,0.91%,"1,164,556"
101,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,USA,40.10B,115.14,1438.46,1.24%,"201,623"
102,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,37.87B,21.48,257.72,-0.54%,"1,247,275"
103,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,17.68B,24.25,61.02,-0.33%,"1,280,498"
104,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,36.83B,20.53,63.25,-1.03%,"3,758,875"
105,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,USA,12.68B,-,22.65,0.00%,"1,843,636"
106,COF,Capital One Financial Corporation,Financial,Credit Services,USA,58.75B,25.35,129.78,2.00%,"2,541,315"
107,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA,7.44B,38.10,19.09,1.65%,"7,222,543"
108,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18.88B,8.52,385.49,0.36%,"251,835"
109,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,71.23B,-,54.02,1.98%,"10,026,607"
110,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,154.54B,36.30,354.94,0.70%,"2,890,577"
111,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,14.70B,18.86,49.97,-0.60%,"2,994,218"
112,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,26.14B,38.16,112.61,3.68%,"1,360,915"
113,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,197.92B,49.54,218.72,3.23%,"7,572,946"
114,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,211.04B,21.76,51.98,0.52%,"17,844,390"
115,CSX,CSX Corporation,Industrials,Railroads,USA,72.55B,27.02,97.26,0.87%,"2,665,449"
116,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,35.58B,38.12,348.31,2.05%,"395,448"
117,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,17.95B,59.92,106.54,1.17%,"672,527"
118,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,40.72B,30.68,78.88,0.97%,"2,073,211"
119,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,33.96B,47.79,46.74,0.26%,"2,941,317"
120,CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA,17.06B,35.14,140.32,-0.03%,"856,631"
121,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,95.01B,13.58,74.30,-1.24%,"6,946,139"
122,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,199.15B,-,105.75,0.92%,"8,492,100"
123,D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,USA,60.58B,44.10,75.72,-0.32%,"2,461,666"
124,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,30.74B,-,48.83,1.14%,"9,526,833"
