No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,A,37.75B,49.02,29.38,4.54,6.83,8.13,28.40,43.54,-31.60%,11.66%,12.00%,10.80%,5.70%,127.69,0.43%,"1,095,700"
2,AAL,15.16B,-,89.70,-,0.87,-,2.21,-,-583.80%,103.30%,-29.60%,-,-15.80%,23.86,-0.17%,"25,700,260"
3,AAP,12.08B,26.03,16.72,1.86,1.19,3.54,14.46,18.70,4.40%,13.68%,2.20%,13.96%,0.70%,185.96,1.35%,"827,319"
4,AAPL,2054.37B,33.25,26.25,2.26,6.98,31.46,26.74,31.10,10.20%,5.23%,7.30%,14.69%,3.30%,123.00,0.70%,"74,728,773"
5,ABBV,187.72B,40.04,7.87,8.40,4.10,14.68,22.14,20.69,-48.50%,10.80%,-2.80%,4.77%,14.90%,108.52,0.28%,"4,747,038"
6,ABC,23.65B,-,12.80,-,0.12,-,4.84,10.52,-530.90%,6.71%,8.70%,9.20%,6.90%,116.89,-1.00%,"1,141,499"
7,ABMD,13.92B,71.75,64.11,4.20,17.12,11.30,28.62,58.76,-21.00%,2.20%,10.80%,17.10%,29.60%,315.34,-1.06%,"200,509"
8,ABT,205.49B,47.29,22.22,3.00,5.94,6.44,28.75,64.95,24.50%,6.08%,7.80%,15.74%,11.10%,118.94,-0.75%,"4,010,557"
9,ACN,177.11B,32.94,29.65,3.38,3.88,9.67,19.31,24.01,7.30%,10.80%,10.60%,9.75%,6.10%,278.34,0.76%,"1,729,861"
10,ADBE,222.74B,41.97,35.30,2.36,16.28,17.53,37.17,45.35,80.50%,15.48%,54.30%,17.80%,21.80%,483.34,1.68%,"2,649,373"
11,ADI,56.45B,42.48,24.01,3.60,9.64,4.90,53.86,56.88,-10.00%,10.65%,8.30%,11.79%,10.30%,160.38,3.42%,"3,333,967"
12,ADM,31.62B,18.31,14.50,4.26,0.49,1.62,-,-,25.40%,2.90%,1.10%,4.30%,-1.00%,57.65,1.14%,"2,412,739"
13,ADP,78.66B,32.92,29.08,3.21,5.39,13.72,-,57.65,8.50%,9.81%,14.50%,10.26%,5.90%,189.40,0.49%,"1,296,011"
14,ADSK,60.76B,52.19,41.03,1.68,16.03,64.52,32.72,45.14,440.10%,39.44%,41.70%,31.04%,8.60%,283.90,2.44%,"1,467,723"
15,AEE,20.73B,23.14,20.08,3.51,3.58,2.24,149.13,17.76,4.50%,7.26%,8.10%,6.60%,-1.00%,81.03,-0.41%,"1,111,772"
16,AEP,42.35B,19.75,17.08,3.21,2.84,2.06,71.35,18.11,11.60%,7.06%,3.80%,6.15%,-1.90%,85.54,0.99%,"2,144,165"
17,AES,17.95B,492.18,16.04,67.42,1.86,6.84,12.60,48.38,-85.80%,8.55%,-32.60%,7.30%,-3.00%,27.07,0.97%,"6,134,378"
18,AFL,35.07B,7.69,9.92,1.26,1.58,1.07,6.82,6.76,50.70%,5.37%,17.90%,6.12%,1.00%,51.42,0.47%,"2,093,795"
19,AIG,39.83B,-,9.28,-,0.91,0.61,14.09,-,-286.60%,13.78%,-43.90%,16.74%,-5.80%,46.38,0.37%,"3,390,139"
20,AIZ,8.55B,22.18,11.99,1.14,0.85,1.42,3.83,8.01,14.70%,22.46%,26.70%,19.40%,-0.50%,142.30,0.37%,"256,943"
21,AJG,24.57B,30.09,24.95,3.14,3.51,3.95,36.97,18.81,19.40%,3.47%,15.30%,9.58%,5.40%,126.61,1.47%,"694,572"
22,AKAM,16.27B,30.50,17.44,2.92,5.09,3.94,14.81,13.80,16.10%,9.12%,13.60%,10.44%,7.80%,102.83,0.91%,"1,206,127"
23,ALB,17.42B,42.84,30.12,2.86,5.57,3.77,23.33,-,-29.90%,43.55%,5.40%,15.00%,2.10%,150.74,3.17%,"1,125,502"
24,ALGN,42.27B,24.28,47.63,0.85,17.10,13.29,44.00,83.33,305.50%,25.17%,66.20%,28.41%,23.90%,545.05,0.65%,"609,487"
25,ALK,8.56B,-,16.96,-,2.40,2.88,2.56,-,-273.30%,234.10%,-29.50%,-,-8.60%,69.49,0.40%,"761,262"
26,ALL,34.74B,6.64,9.22,2.57,0.78,1.25,92.16,7.69,23.40%,0.87%,27.90%,2.59%,4.40%,116.03,0.98%,"2,236,936"
27,ALLE,11.29B,37.65,24.26,22.15,4.15,14.16,23.51,34.65,-20.50%,8.94%,16.30%,1.70%,5.60%,127.75,1.70%,"733,533"
28,ALXN,33.27B,56.87,10.65,6.48,5.48,2.88,11.09,11.49,-74.60%,10.64%,32.40%,8.78%,18.40%,153.21,0.20%,"2,073,811"
29,AMAT,120.86B,33.85,21.86,1.59,6.64,11.29,18.25,40.27,38.20%,8.22%,28.40%,21.28%,12.20%,141.52,5.93%,"15,719,393"
30,AMCR,17.90B,23.65,15.16,3.09,1.43,3.80,23.71,54.45,6.70%,6.36%,-7.00%,7.64%,5.30%,11.66,-0.17%,"6,311,158"
31,AMD,96.75B,39.73,32.11,1.51,9.91,16.75,42.25,124.52,604.70%,28.24%,34.80%,26.31%,19.60%,81.09,3.30%,"39,804,391"
32,AME,28.70B,34.09,27.57,-,6.32,4.97,23.66,27.55,0.50%,8.69%,9.10%,-1.20%,2.70%,128.66,0.73%,"693,489"
33,AMGN,140.15B,20.23,13.67,2.89,5.51,15.36,13.16,22.85,-4.40%,8.34%,6.30%,7.01%,3.30%,249.17,0.14%,"2,053,645"
34,AMP,26.87B,19.84,10.80,1.96,2.25,4.85,3.93,6.75,-12.30%,10.28%,7.60%,10.11%,-0.40%,235.41,1.27%,"478,400"
35,AMT,101.50B,63.34,40.46,3.66,12.62,26.07,-,110.14,-10.60%,10.48%,21.90%,17.31%,11.00%,240.06,0.42%,"1,703,082"
36,AMZN,1588.75B,75.71,47.82,2.04,4.12,16.92,18.82,61.28,81.90%,38.47%,101.80%,37.20%,29.30%,3161.00,2.16%,"2,909,056"
37,ANET,22.06B,38.56,27.33,5.84,9.52,7.04,7.68,30.65,-24.90%,11.99%,36.70%,6.60%,22.60%,308.04,2.04%,"394,412"
38,ANSS,29.18B,70.85,45.95,8.86,17.36,7.39,31.96,57.01,-5.00%,13.35%,12.50%,8.00%,12.30%,351.85,3.62%,"647,727"
39,ANTM,85.60B,19.74,12.56,1.47,0.70,2.64,14.91,9.82,-2.60%,13.53%,13.90%,13.42%,9.00%,353.76,-1.45%,"1,260,230"
40,AON,51.63B,27.47,18.96,2.58,4.67,15.22,7.25,24.89,37.10%,11.62%,6.40%,10.63%,-1.80%,231.80,0.73%,"1,395,143"
41,AOS,10.53B,32.00,24.47,4.00,3.64,5.93,15.27,30.38,-4.40%,9.64%,6.10%,8.00%,2.70%,67.87,0.38%,"1,147,986"
42,APA,6.95B,-,13.84,-,1.57,-,26.53,5.51,-36.40%,-16.44%,14.80%,-,-7.40%,18.85,5.31%,"10,269,729"
43,APD,60.86B,33.40,27.29,3.71,6.78,4.98,9.82,-,8.40%,15.10%,14.80%,9.01%,2.50%,284.90,1.27%,"913,330"
44,APH,38.97B,34.31,27.98,3.06,4.53,7.45,22.42,38.30,4.30%,11.13%,10.20%,11.20%,9.10%,67.05,1.64%,"2,721,001"
45,APTV,38.62B,20.80,28.19,0.48,2.96,4.81,13.69,49.96,69.90%,33.86%,18.20%,43.38%,3.80%,140.74,2.06%,"1,855,738"
46,ARE,23.22B,28.96,58.10,289.62,12.31,1.94,40.84,-,92.80%,8.07%,29.80%,0.10%,17.50%,169.72,3.30%,"842,729"
