No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,37.75B,49.02,127.69,0.43%,"1,095,700"
2,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,15.16B,-,23.86,-0.17%,"25,700,260"
3,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,12.08B,26.03,185.96,1.35%,"827,319"
4,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2054.37B,33.25,123.00,0.70%,"74,728,773"
5,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,187.72B,40.04,108.52,0.28%,"4,747,038"
6,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,23.65B,-,116.89,-1.00%,"1,141,499"
7,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,13.92B,71.75,315.34,-1.06%,"200,509"
8,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,205.49B,47.29,118.94,-0.75%,"4,010,557"
9,ACN,Accenture plc,Technology,Information Technology Services,Ireland,177.11B,32.94,278.34,0.76%,"1,729,861"
10,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,222.74B,41.97,483.34,1.68%,"2,649,373"
11,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,56.45B,42.48,160.38,3.42%,"3,333,967"
12,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,31.62B,18.31,57.65,1.14%,"2,412,739"
13,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,78.66B,32.92,189.40,0.49%,"1,296,011"
14,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,60.76B,52.19,283.90,2.44%,"1,467,723"
15,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,20.73B,23.14,81.03,-0.41%,"1,111,772"
16,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,42.35B,19.75,85.54,0.99%,"2,144,165"
17,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,17.95B,492.18,27.07,0.97%,"6,134,378"
18,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,35.07B,7.69,51.42,0.47%,"2,093,795"
19,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,39.83B,-,46.38,0.37%,"3,390,139"
20,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,8.55B,22.18,142.30,0.37%,"256,943"
61,BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,32.32B,36.74,69.65,0.99%,"1,116,199"
62,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,USA,42.05B,11.40,278.71,-0.37%,"964,983"
63,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,USA,16.82B,4.59,579.91,1.53%,"84,357"
64,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,40.61B,12.40,47.47,0.38%,"3,966,929"
65,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,95.30B,1922.89,2382.46,2.26%,"231,658"
66,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,21.79B,-,21.73,0.56%,"9,449,397"
67,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,112.50B,24.04,766.83,1.71%,"536,041"
68,BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,USA,28.29B,51.35,86.27,1.81%,"2,263,778"
69,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,138.46B,-,62.93,-0.32%,"9,265,244"
70,BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,USA,17.33B,34.95,154.92,1.19%,"407,162"
71,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,627.43B,-,258.20,1.07%,"5,379,778"
72,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,54.37B,-,38.58,-0.18%,"5,565,081"
73,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,USA,10.57B,21.02,46.30,-0.13%,"1,744,074"
74,BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,USA,15.88B,18.81,104.26,2.96%,"776,371"
75,C,Citigroup Inc.,Financial,Banks - Diversified,USA,149.90B,15.47,73.14,0.54%,"15,038,332"
76,CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,USA,17.93B,16.41,37.29,-0.82%,"4,437,895"
77,CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,17.45B,12.96,60.88,0.21%,"1,596,141"
78,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,35.87B,18.74,42.02,-0.47%,"4,640,605"
79,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,124.01B,43.78,232.74,0.38%,"3,764,684"
80,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,71.19B,20.40,158.99,0.65%,"1,928,821"
81,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,10.81B,22.14,100.86,2.20%,"578,497"
82,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,25.96B,36.04,80.05,1.19%,"1,778,055"
83,CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,72.88B,74.65,174.46,1.35%,"1,809,928"
84,CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,29.37B,-,26.86,1.21%,"19,548,582"
85,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,37.41B,66.99,141.49,3.28%,"1,762,653"
